parcel_id,stage,statutory_days,actual_days,elapsed_days,status,delay_days,delay_flag
PRCL_0000050,SIA,180,235,235,completed,55,1
PRCL_0000051,SIA,180,161,161,completed,-19,0
PRCL_0000052,SIA,180,173,173,completed,-7,0
PRCL_0000053,SIA,180,198,198,completed,18,1
PRCL_0000054,SIA,180,173,173,completed,-7,0
PRCL_0000055,SIA,180,210,210,completed,30,1
PRCL_0000056,SIA,180,216,216,completed,36,1
PRCL_0000057,SIA,180,194,194,completed,14,1
PRCL_0000058,SIA,180,180,180,completed,0,0
PRCL_0000059,SIA,180,205,205,completed,25,1
PRCL_0000060,SIA,180,198,198,completed,18,1
PRCL_0000061,SIA,180,204,204,completed,24,1
PRCL_0000062,SIA,180,185,185,completed,5,1
PRCL_0000063,SIA,180,186,186,completed,6,1
PRCL_0000064,SIA,180,208,208,completed,28,1
PRCL_0000065,SIA,180,222,222,completed,42,1
PRCL_0000066,SIA,180,153,153,completed,-27,0
PRCL_0000067,SIA,180,175,175,completed,-5,0
PRCL_0000068,SIA,180,174,174,completed,-6,0
PRCL_0000069,SIA,180,203,203,completed,23,1
PRCL_0000070,SIA,180,182,182,completed,2,1
PRCL_0000071,SIA,180,179,179,completed,-1,0
PRCL_0000072,SIA,180,188,188,completed,8,1
PRCL_0000073,SIA,180,143,143,completed,-37,0
PRCL_0000074,SIA,180,172,172,completed,-8,0
PRCL_0000075,SIA,180,188,188,completed,8,1
PRCL_0000076,SIA,180,224,224,completed,44,1
PRCL_0000077,SIA,180,201,201,completed,21,1
PRCL_0000078,SIA,180,177,177,completed,-3,0
PRCL_0000079,SIA,180,195,195,completed,15,1
PRCL_0000080,SIA,180,194,194,completed,14,1
PRCL_0000081,SIA,180,184,184,completed,4,1
PRCL_0000082,SIA,180,182,182,completed,2,1
PRCL_0000083,SIA,180,155,155,completed,-25,0
PRCL_0000084,SIA,180,236,236,completed,56,1
PRCL_0000085,SIA,180,154,154,completed,-26,0
PRCL_0000086,SIA,180,168,168,completed,-12,0
PRCL_0000087,SIA,180,159,159,completed,-21,0
PRCL_0000088,SIA,180,177,177,completed,-3,0
PRCL_0000089,SIA,180,188,188,completed,8,1
PRCL_0000090,SIA,180,225,225,completed,45,1
PRCL_0000091,SIA,180,194,194,completed,14,1
PRCL_0000092,SIA,180,243,243,completed,63,1
PRCL_0000093,SIA,180,154,154,completed,-26,0
PRCL_0000094,SIA,180,149,149,completed,-31,0
PRCL_0000095,SIA,180,202,202,completed,22,1
PRCL_0000096,SIA,180,195,195,completed,15,1
PRCL_0000097,SIA,180,205,205,completed,25,1
PRCL_0000098,SIA,180,188,188,completed,8,1
PRCL_0000099,SIA,180,207,207,completed,27,1
PRCL_0000100,SIA,180,164,164,completed,-16,0
PRCL_0000101,SIA,180,181,181,completed,1,1
PRCL_0000102,SIA,180,208,208,completed,28,1
PRCL_0000103,SIA,180,178,178,completed,-2,0
PRCL_0000104,SIA,180,210,210,completed,30,1
PRCL_0000105,SIA,180,226,226,completed,46,1
PRCL_0000106,SIA,180,169,169,completed,-11,0
PRCL_0000107,SIA,180,185,185,completed,5,1
PRCL_0000108,SIA,180,185,185,completed,5,1
PRCL_0000109,SIA,180,229,229,completed,49,1
PRCL_0000110,SIA,180,164,164,completed,-16,0
PRCL_0000111,SIA,180,171,171,completed,-9,0
PRCL_0000112,SIA,180,207,207,completed,27,1
PRCL_0000113,SIA,180,189,189,completed,9,1
PRCL_0000114,SIA,180,155,155,completed,-25,0
PRCL_0000115,SIA,180,218,218,completed,38,1
PRCL_0000116,SIA,180,190,190,completed,10,1
PRCL_0000117,SIA,180,176,176,completed,-4,0
PRCL_0000118,SIA,180,167,167,completed,-13,0
PRCL_0000119,SIA,180,191,191,completed,11,1
PRCL_0000120,SIA,180,177,177,completed,-3,0
PRCL_0000121,SIA,180,219,219,completed,39,1
PRCL_0000122,SIA,180,162,162,completed,-18,0
PRCL_0000123,SIA,180,167,167,completed,-13,0
PRCL_0000124,SIA,180,151,151,completed,-29,0
PRCL_0000125,SIA,180,181,181,completed,1,1
PRCL_0000126,SIA,180,194,194,completed,14,1
PRCL_0000127,SIA,180,151,151,completed,-29,0
PRCL_0000128,SIA,180,205,205,completed,25,1
PRCL_0000129,SIA,180,193,193,completed,13,1
PRCL_0000130,SIA,180,203,203,completed,23,1
PRCL_0000131,SIA,180,179,179,completed,-1,0
PRCL_0000132,SIA,180,179,179,completed,-1,0
PRCL_0000133,SIA,180,217,217,completed,37,1
PRCL_0000134,SIA,180,163,163,completed,-17,0
PRCL_0000135,SIA,180,222,222,completed,42,1
PRCL_0000136,SIA,180,139,139,completed,-41,0
PRCL_0000137,SIA,180,206,206,completed,26,1
PRCL_0000138,SIA,180,213,213,completed,33,1
PRCL_0000139,SIA,180,210,210,completed,30,1
PRCL_0000140,SIA,180,136,136,completed,-44,0
PRCL_0000141,SIA,180,222,222,completed,42,1
PRCL_0000142,SIA,180,150,150,completed,-30,0
PRCL_0000143,SIA,180,164,164,completed,-16,0
PRCL_0000144,SIA,180,177,177,completed,-3,0
PRCL_0000145,SIA,180,206,206,completed,26,1
PRCL_0000146,SIA,180,250,250,completed,70,1
PRCL_0000147,SIA,180,212,212,completed,32,1
PRCL_0000148,SIA,180,152,152,completed,-28,0
PRCL_0000149,SIA,180,233,233,completed,53,1
PRCL_0000150,SIA,180,143,143,completed,-37,0
PRCL_0000151,SIA,180,217,217,completed,37,1
PRCL_0000152,SIA,180,253,253,completed,73,1
PRCL_0000153,SIA,180,226,226,completed,46,1
PRCL_0000154,SIA,180,204,204,completed,24,1
PRCL_0000155,SIA,180,141,141,completed,-39,0
PRCL_0000156,SIA,180,185,185,completed,5,1
PRCL_0000157,SIA,180,193,193,completed,13,1
PRCL_0000158,SIA,180,201,201,completed,21,1
PRCL_0000159,SIA,180,213,213,completed,33,1
PRCL_0000160,SIA,180,159,159,completed,-21,0
PRCL_0000161,SIA,180,160,160,completed,-20,0
PRCL_0000162,SIA,180,188,188,completed,8,1
PRCL_0000163,SIA,180,155,155,completed,-25,0
PRCL_0000164,SIA,180,186,186,completed,6,1
PRCL_0000165,SIA,180,202,202,completed,22,1
PRCL_0000166,SIA,180,195,195,completed,15,1
PRCL_0000167,SIA,180,203,203,completed,23,1
PRCL_0000168,SIA,180,235,235,completed,55,1
PRCL_0000169,SIA,180,223,223,completed,43,1
PRCL_0000170,SIA,180,157,157,completed,-23,0
PRCL_0000171,SIA,180,213,213,completed,33,1
PRCL_0000172,SIA,180,226,226,completed,46,1
PRCL_0000173,SIA,180,172,172,completed,-8,0
PRCL_0000174,SIA,180,180,180,completed,0,0
PRCL_0000175,SIA,180,208,208,completed,28,1
PRCL_0000176,SIA,180,154,154,completed,-26,0
PRCL_0000177,SIA,180,195,195,completed,15,1
PRCL_0000178,SIA,180,188,188,completed,8,1
PRCL_0000179,SIA,180,171,171,completed,-9,0
PRCL_0000180,SIA,180,132,132,completed,-48,0
PRCL_0000181,SIA,180,205,205,completed,25,1
PRCL_0000182,SIA,180,216,216,completed,36,1
PRCL_0000183,SIA,180,187,187,completed,7,1
PRCL_0000184,SIA,180,175,175,completed,-5,0
PRCL_0000185,SIA,180,186,186,completed,6,1
PRCL_0000186,SIA,180,150,150,completed,-30,0
PRCL_0000187,SIA,180,220,220,completed,40,1
PRCL_0000188,SIA,180,182,182,completed,2,1
PRCL_0000189,SIA,180,193,193,completed,13,1
PRCL_0000190,SIA,180,215,215,completed,35,1
PRCL_0000191,SIA,180,192,192,completed,12,1
PRCL_0000192,SIA,180,239,239,completed,59,1
PRCL_0000193,SIA,180,183,183,completed,3,1
PRCL_0000194,SIA,180,165,165,completed,-15,0
PRCL_0000195,SIA,180,156,156,completed,-24,0
PRCL_0000196,SIA,180,176,176,completed,-4,0
PRCL_0000197,SIA,180,208,208,completed,28,1
PRCL_0000198,SIA,180,162,162,completed,-18,0
PRCL_0000199,SIA,180,184,184,completed,4,1
