project_id,project_type,spatial_type,coord_path,affected_families,compensation_status,rehab_progress_pct,stakeholder_responsiveness,historical_performance_score,state,state_code,district,tehsil
PB-IND-0002,industrial,point,"[[30.6298, 75.7508], [30.8061, 75.5716]]",52,paid,74.52,0.644,0.684,Punjab,PB,Ludhiana,Ludhiana_Tehsil_2
HP-IRR-0003,irrigation,point,"[[32.8055, 75.9755], [32.5879, 76.2747]]",144,paid,81.86,0.695,0.69,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_2
UK-RLY-0001,rail,point,"[[29.9908, 78.2404]]",296,paid,82.19,0.643,0.647,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_1
HP-RDH-0002,road,linear,"[[32.5879, 76.2747], [32.3093, 76.3227], [31.3359, 76.215]]",498,paid,83.06,0.521,0.695,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_1
HP-IRR-0004,irrigation,point,"[[31.6534, 76.9851]]",985,paid,83.61,0.622,0.754,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_2
PB-RLY-0001,rail,linear,"[[31.1697, 74.4688], [30.4676, 74.6609], [30.7741, 75.0482], [30.4245, 75.513]]",48,partial,85.52,0.637,0.759,Punjab,PB,Ferozepur,Ferozepur_Tehsil_2
PB-IRR-0002,irrigation,point,"[[31.2405, 76.1033], [31.8359, 75.8614]]",75,paid,93.83,0.547,0.715,Punjab,PB,Hoshiarpur,Hoshiarpur_Tehsil_1
UK-DAM-0002,dam,point,"[[29.21, 79.975], [29.16, 80.1533]]",421,paid,95.19,0.723,0.779,Uttarakhand,UK,Champawat,Champawat_Tehsil_2
PB-RDH-0003,road,point,"[[31.0003, 76.4695], [30.6493, 76.5775]]",59,paid,92.19,0.751,0.768,Punjab,PB,Rupnagar,Rupnagar_Tehsil_1
PB-RDH-0004,road,point,"[[29.7203, 75.5202], [30.1653, 75.4339]]",195,pending,78.11,0.677,0.735,Punjab,PB,Mansa,Mansa_Tehsil_2
HP-RDH-0003,road,linear,"[[31.0281, 77.0602], [30.6495, 77.4787], [30.9221, 76.89]]",194,paid,98.31,0.514,0.795,Himachal Pradesh,HP,Solan,Solan_Tehsil_1
UK-IND-0001,industrial,point,"[[30.554, 79.3647]]",298,paid,97.35,0.873,0.746,Uttarakhand,UK,Chamoli,Chamoli_Tehsil_1
UK-IRR-0002,irrigation,point,"[[30.5139, 79.3554], [30.0583, 79.3759]]",414,pending,81.96,0.751,0.767,Uttarakhand,UK,Chamoli,Chamoli_Tehsil_1
PB-RDH-0005,road,linear,"[[30.8303, 74.737], [30.4639, 74.5104], [31.0903, 74.7598], [31.3753, 75.1672]]",419,partial,89.97,0.543,0.705,Punjab,PB,Faridkot,Faridkot_Tehsil_1
HP-IND-0001,industrial,point,"[[32.3078, 77.5047]]",49,paid,85.72,0.407,0.621,Himachal Pradesh,HP,Lahaul and Spiti,Lahaul and Spiti_Tehsil_3
UK-IRR-0003,irrigation,point,"[[29.9908, 78.2404]]",148,partial,80.9,0.785,0.591,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_1
HP-IRR-0005,irrigation,point,"[[32.2923, 76.1105], [32.8055, 75.9755]]",123,pending,85.32,0.68,0.661,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_1
UK-IND-0002,industrial,point,"[[30.0952, 78.9159], [30.4434, 78.6147]]",18,paid,94.91,0.654,0.77,Uttarakhand,UK,Pauri Garhwal,Pauri Garhwal_Tehsil_2
PB-RDH-0006,road,point,"[[32.0723, 75.3256], [31.9906, 75.5635]]",338,partial,77.03,0.648,0.776,Punjab,PB,Gurdaspur,Gurdaspur_Tehsil_4
HP-RDH-0004,road,linear,"[[32.5129, 77.7571], [32.108, 76.1863], [32.2999, 75.6553], [31.9432, 75.2461]]",316,paid,81.54,0.52,0.581,Himachal Pradesh,HP,Lahaul and Spiti,Lahaul and Spiti_Tehsil_2
PB-IRR-0003,irrigation,point,"[[30.7195, 76.4362], [30.6209, 76.4144]]",118,partial,88.84,0.779,0.639,Punjab,PB,Fatehgarh Sahib,Fatehgarh Sahib_Tehsil_1
UK-RDH-0002,road,point,"[[30.4434, 78.6147], [30.1993, 78.7942]]",291,partial,87.84,0.544,0.686,Uttarakhand,UK,Pauri Garhwal,Pauri Garhwal_Tehsil_1
UK-DAM-0003,dam,point,"[[29.9908, 78.2404], [29.9096, 78.2344]]",127,pending,85.99,0.533,0.765,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_1
HP-RDH-0005,road,point,"[[32.3078, 77.5047]]",17,partial,92.36,0.557,0.449,Himachal Pradesh,HP,Lahaul and Spiti,Lahaul and Spiti_Tehsil_3
HP-RDH-0006,road,point,"[[31.3115, 76.6665], [31.1837, 76.6446]]",222,paid,100.0,0.589,0.599,Himachal Pradesh,HP,Bilaspur,Bilaspur_Tehsil_2
PB-RDH-0007,road,linear,"[[30.3496, 75.4565], [30.0821, 75.2632], [30.2514, 75.0202], [30.7465, 74.6953]]",50,paid,83.6,0.691,0.527,Punjab,PB,Barnala,Barnala_Tehsil_1
UK-RLY-0002,rail,linear,"[[29.4638, 79.4722], [28.9484, 79.3277], [29.21, 79.975], [29.8897, 79.7421], [29.3889, 80.1005], [29.7185, 79.7989]]",176,pending,83.07,0.856,0.619,Uttarakhand,UK,Nainital,Nainital_Tehsil_3
PB-RDH-0008,road,point,"[[30.0789, 75.7812], [30.1698, 75.8244]]",108,paid,100.0,0.805,0.718,Punjab,PB,Sangrur,Sangrur_Tehsil_1
HP-RDH-0007,road,point,"[[31.6498, 76.5383], [31.7115, 76.5776]]",127,paid,84.9,0.677,0.731,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_4
HP-IND-0002,industrial,point,"[[31.7366, 76.6415], [31.6449, 76.5076]]",154,partial,74.72,0.541,0.638,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_1
UK-RLY-0003,rail,linear,"[[30.9363, 78.1616], [30.412, 78.0445], [30.2846, 78.6364], [30.3266, 78.798], [30.1231, 78.0999]]",354,paid,96.19,0.704,0.744,Uttarakhand,UK,Uttarkashi,Uttarkashi_Tehsil_1
PB-RLY-0002,rail,point,"[[30.4129, 75.7707]]",191,paid,89.06,0.614,0.542,Punjab,PB,Malerkotla,Malerkotla_Tehsil_1
PB-RDH-0009,road,point,"[[31.4927, 75.8757]]",44,paid,91.1,0.743,0.753,Punjab,PB,Hoshiarpur,Hoshiarpur_Tehsil_2
PB-RLY-0003,rail,linear,"[[30.3918, 74.0614], [30.5536, 74.6535], [30.7741, 75.0482], [30.8425, 75.9449], [30.597, 75.8534]]",273,paid,74.53,0.764,0.636,Punjab,PB,Fazilka,Fazilka_Tehsil_3
PB-RDH-0010,road,point,"[[30.4676, 74.6609]]",23,partial,80.85,0.634,0.664,Punjab,PB,Faridkot,Faridkot_Tehsil_4
UK-IRR-0004,irrigation,point,"[[29.4462, 80.1825], [29.3889, 80.1005]]",660,paid,91.75,0.817,0.837,Uttarakhand,UK,Pithoragarh,Pithoragarh_Tehsil_2
HP-RDH-0008,road,linear,"[[31.9417, 77.156], [31.2719, 76.7107], [31.6987, 76.5622], [31.6534, 76.9851], [31.2793, 76.0212]]",45,paid,86.9,0.657,0.633,Himachal Pradesh,HP,Kullu,Kullu_Tehsil_2
PB-IND-0003,industrial,point,"[[30.472, 76.3741]]",52,partial,71.16,0.728,0.703,Punjab,PB,Patiala,Patiala_Tehsil_2
PB-IND-0004,industrial,point,"[[32.317, 75.4356], [32.12, 75.7113]]",21,paid,94.83,0.58,0.757,Punjab,PB,Pathankot,Pathankot_Tehsil_2
UK-RDH-0003,road,point,"[[29.7636, 79.4343], [29.5619, 79.556]]",46,partial,89.72,0.853,0.806,Uttarakhand,UK,Almora,Almora_Tehsil_3
UK-RDH-0004,road,linear,"[[29.9096, 78.2344], [30.3419, 78.9874], [30.3266, 78.798]]",163,paid,84.59,0.645,0.752,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_3
UK-RDH-0005,road,point,"[[29.4462, 80.1825]]",55,paid,94.44,0.584,0.808,Uttarakhand,UK,Pithoragarh,Pithoragarh_Tehsil_2
HP-IRR-0006,irrigation,point,"[[31.0154, 77.1484]]",453,paid,72.27,0.73,0.81,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_1
PB-RDH-0011,road,linear,"[[30.5161, 76.2407], [30.6493, 76.5775], [30.9888, 76.1647], [31.8359, 75.8614]]",198,partial,92.2,0.67,0.607,Punjab,PB,Fatehgarh Sahib,Fatehgarh Sahib_Tehsil_2
HP-IND-0003,industrial,point,"[[31.7729, 76.9632], [31.7942, 76.9466]]",47,pending,100.0,0.697,0.682,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_1
HP-DAM-0002,dam,point,"[[30.9083, 77.1192]]",199,paid,92.61,0.53,0.681,Himachal Pradesh,HP,Solan,Solan_Tehsil_2
UK-IND-0003,industrial,point,"[[30.3193, 78.9619]]",215,paid,83.06,0.82,0.719,Uttarakhand,UK,Rudraprayag,Rudraprayag_Tehsil_1
PB-IRR-0004,irrigation,point,"[[30.2658, 74.7527]]",367,paid,93.45,0.529,0.643,Punjab,PB,Bathinda,Bathinda_Tehsil_1
HP-IND-0004,industrial,point,"[[30.9221, 76.89], [31.0681, 77.1559]]",25,paid,87.38,0.74,0.623,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_3
PB-RDH-0012,road,point,"[[30.4226, 73.8562]]",48,paid,85.12,0.655,0.551,Punjab,PB,Fazilka,Fazilka_Tehsil_3
UK-RLY-0004,rail,point,"[[29.4462, 80.1825], [29.6346, 80.3834]]",179,pending,98.24,0.703,0.916,Uttarakhand,UK,Pithoragarh,Pithoragarh_Tehsil_2
HP-RLY-0002,rail,point,"[[31.4669, 76.3077]]",160,partial,93.23,0.561,0.801,Himachal Pradesh,HP,Una,Una_Tehsil_1
PB-IND-0005,industrial,point,"[[31.4127, 75.2943], [31.222, 75.4803]]",27,paid,86.99,0.797,0.6,Punjab,PB,Kapurthala,Kapurthala_Tehsil_1
PB-IRR-0005,irrigation,point,"[[31.3689, 74.8165], [31.4229, 74.7668]]",317,paid,81.84,0.711,0.591,Punjab,PB,Tarn Taran,Tarn Taran_Tehsil_1
PB-IND-0006,industrial,point,"[[30.3918, 74.0614]]",32,paid,94.05,0.454,0.561,Punjab,PB,Fazilka,Fazilka_Tehsil_3
HP-RDH-0009,road,point,"[[30.9124, 77.5611]]",291,paid,86.46,0.544,0.502,Himachal Pradesh,HP,Sirmaur,Sirmaur_Tehsil_1
UK-IND-0004,industrial,point,"[[30.0659, 79.7496]]",115,paid,91.35,0.74,0.671,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_1
HP-IRR-0007,irrigation,point,"[[32.2413, 76.3227]]",58,pending,83.71,0.584,0.661,Himachal Pradesh,HP,Kangra,Kangra_Tehsil_3
PB-IRR-0006,irrigation,point,"[[31.1697, 74.4688]]",100,paid,85.04,0.811,0.611,Punjab,PB,Ferozepur,Ferozepur_Tehsil_2
PB-IND-0007,industrial,point,"[[32.2457, 75.5201]]",44,paid,92.64,0.697,0.564,Punjab,PB,Pathankot,Pathankot_Tehsil_1
UK-RLY-0005,rail,point,"[[30.3116, 78.9013]]",135,paid,85.09,0.856,0.895,Uttarakhand,UK,Rudraprayag,Rudraprayag_Tehsil_3
UK-RLY-0006,rail,linear,"[[30.4808, 78.6585], [30.1048, 79.0584], [30.4673, 79.1905], [30.3266, 78.798], [29.905, 78.2507]]",174,paid,91.91,0.733,0.676,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_2
PB-IRR-0007,irrigation,point,"[[31.6308, 75.1817]]",57,pending,85.89,0.679,0.697,Punjab,PB,Amritsar,Amritsar_Tehsil_3
HP-RDH-0010,road,point,"[[31.3115, 76.6665], [31.5552, 76.6476]]",25,partial,86.03,0.576,0.661,Himachal Pradesh,HP,Bilaspur,Bilaspur_Tehsil_2
HP-RLY-0003,rail,linear,"[[30.9221, 76.89], [30.8843, 77.1419], [30.7343, 77.3303], [30.412, 78.0445]]",343,partial,68.29,0.608,0.784,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_3
UK-RDH-0006,road,point,"[[29.8491, 79.7707]]",116,partial,91.76,0.826,0.713,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_1
PB-RDH-0013,road,point,"[[30.4887, 74.0108], [30.3918, 74.0614]]",98,paid,90.35,0.629,0.757,Punjab,PB,Fazilka,Fazilka_Tehsil_2
UK-IND-0005,industrial,point,"[[30.291, 79.0754], [30.3419, 78.9874]]",91,partial,94.45,0.785,0.728,Uttarakhand,UK,Rudraprayag,Rudraprayag_Tehsil_3
HP-IRR-0008,irrigation,point,"[[32.3077, 77.4498]]",92,partial,97.53,0.566,0.611,Himachal Pradesh,HP,Lahaul and Spiti,Lahaul and Spiti_Tehsil_3
PB-RLY-0004,rail,point,"[[30.8446, 74.7758]]",138,paid,92.55,0.543,0.741,Punjab,PB,Faridkot,Faridkot_Tehsil_1
UK-RLY-0007,rail,point,"[[29.4638, 79.4722]]",1149,paid,75.49,0.709,0.701,Uttarakhand,UK,Nainital,Nainital_Tehsil_3
UK-RLY-0008,rail,point,"[[29.4462, 80.1825]]",336,partial,81.41,0.524,0.693,Uttarakhand,UK,Pithoragarh,Pithoragarh_Tehsil_2
PB-IRR-0008,irrigation,point,"[[30.5337, 75.6574]]",124,pending,86.64,0.592,0.562,Punjab,PB,Barnala,Barnala_Tehsil_3
PB-IND-0008,industrial,point,"[[30.7028, 75.1714], [30.9126, 75.2468]]",44,paid,92.01,0.656,0.636,Punjab,PB,Moga,Moga_Tehsil_1
UK-IND-0006,industrial,point,"[[29.2409, 80.2109], [29.16, 80.1533]]",5,pending,93.91,0.722,0.793,Uttarakhand,UK,Champawat,Champawat_Tehsil_1
HP-RLY-0004,rail,linear,"[[31.0186, 77.2599], [30.6495, 77.4787], [30.8843, 77.1419], [30.6493, 76.5775]]",550,pending,92.93,0.797,0.672,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_4
PB-RLY-0005,rail,linear,"[[30.7844, 75.7402], [30.2563, 75.7004], [30.7068, 76.4256], [30.1907, 76.3517], [30.1698, 75.8244], [30.4245, 75.513]]",426,pending,91.05,0.661,0.703,Punjab,PB,Ludhiana,Ludhiana_Tehsil_2
UK-IRR-0005,irrigation,point,"[[29.5707, 80.1864]]",99,paid,99.57,0.902,0.81,Uttarakhand,UK,Pithoragarh,Pithoragarh_Tehsil_1
HP-IRR-0009,irrigation,point,"[[31.0154, 77.1484], [31.0528, 77.2325]]",44,paid,78.79,0.71,0.505,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_1
PB-IRR-0009,irrigation,point,"[[30.8077, 74.4727]]",57,partial,74.85,0.704,0.586,Punjab,PB,Faridkot,Faridkot_Tehsil_3
UK-DAM-0004,dam,point,"[[29.5619, 79.556], [29.4709, 79.5698]]",335,paid,100.0,0.826,0.641,Uttarakhand,UK,Almora,Almora_Tehsil_3
UK-IRR-0006,irrigation,point,"[[29.8772, 79.8407]]",149,paid,86.49,0.773,0.627,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_2
HP-RLY-0005,rail,point,"[[31.5405, 76.6528], [31.7729, 76.9632]]",218,partial,86.07,0.697,0.602,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_1
HP-RLY-0006,rail,linear,"[[32.4316, 76.1006], [32.1994, 76.2344], [31.4669, 76.3077], [31.4927, 75.8757]]",226,paid,86.52,0.553,0.714,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_3
UK-RLY-0009,rail,linear,"[[30.4518, 78.5424], [30.241, 78.8122], [30.3673, 79.3703]]",502,paid,90.73,0.759,0.672,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_1
HP-RDH-0011,road,point,"[[31.6534, 76.9851], [31.7729, 76.9632]]",125,pending,80.82,0.687,0.609,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_2
PB-RDH-0014,road,point,"[[31.5893, 74.9977], [31.5812, 74.8359]]",189,paid,85.2,0.798,0.68,Punjab,PB,Amritsar,Amritsar_Tehsil_2
UK-DAM-0005,dam,point,"[[29.9563, 78.1271], [29.8246, 78.0375]]",34,pending,81.46,0.641,0.829,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_3
HP-RLY-0007,rail,point,"[[30.9083, 77.1192]]",38,paid,95.6,0.769,0.586,Himachal Pradesh,HP,Solan,Solan_Tehsil_2
UK-RDH-0007,road,point,"[[30.7193, 78.4405]]",64,paid,100.0,0.924,0.816,Uttarakhand,UK,Uttarkashi,Uttarkashi_Tehsil_1
UK-IRR-0007,irrigation,point,"[[29.905, 78.2507], [29.9955, 78.0118]]",428,paid,83.1,0.638,0.575,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_1
PB-DAM-0003,dam,point,"[[30.1997, 75.0349], [30.2622, 74.8729]]",1222,paid,87.93,0.707,0.517,Punjab,PB,Bathinda,Bathinda_Tehsil_2
HP-RDH-0012,road,point,"[[32.3093, 76.3227]]",77,paid,80.95,0.534,0.674,Himachal Pradesh,HP,Kangra,Kangra_Tehsil_3
HP-IND-0005,industrial,point,"[[31.6987, 76.5622], [31.7263, 76.4284]]",41,partial,100.0,0.613,0.512,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_1
PB-IND-0009,industrial,point,"[[29.997, 75.4658]]",12,pending,93.65,0.731,0.524,Punjab,PB,Mansa,Mansa_Tehsil_1
UK-IRR-0008,irrigation,point,"[[28.9484, 79.3277], [28.9579, 79.3776]]",352,paid,92.11,0.799,0.802,Uttarakhand,UK,Udham Singh Nagar,Udham Singh Nagar_Tehsil_3
UK-DAM-0006,dam,point,"[[30.3597, 77.9937], [30.3129, 77.9425]]",137,paid,91.56,0.806,0.704,Uttarakhand,UK,Dehradun,Dehradun_Tehsil_2
PB-RDH-0015,road,linear,"[[30.3855, 76.5445], [30.6142, 75.7558], [30.1698, 75.8244], [29.9675, 75.4334], [30.4216, 75.4478]]",2322,partial,69.34,0.695,0.59,Punjab,PB,Patiala,Patiala_Tehsil_2
PB-IND-0010,industrial,point,"[[30.2476, 75.603]]",37,paid,86.53,0.572,0.647,Punjab,PB,Sangrur,Sangrur_Tehsil_2
PB-RLY-0006,rail,point,"[[30.4676, 74.6609]]",778,paid,78.66,0.493,0.767,Punjab,PB,Faridkot,Faridkot_Tehsil_4
UK-IND-0007,industrial,point,"[[30.6626, 78.5237]]",141,paid,82.83,0.746,0.649,Uttarakhand,UK,Uttarkashi,Uttarkashi_Tehsil_3
PB-IRR-0010,irrigation,point,"[[30.1698, 75.8244]]",64,paid,90.86,0.752,0.688,Punjab,PB,Sangrur,Sangrur_Tehsil_1
PB-RDH-0016,road,point,"[[29.8557, 75.4537], [29.997, 75.4658]]",110,paid,72.25,0.575,0.595,Punjab,PB,Mansa,Mansa_Tehsil_1
PB-RDH-0017,road,point,"[[30.3855, 76.5445], [30.4631, 76.3947]]",180,paid,77.46,0.641,0.542,Punjab,PB,Patiala,Patiala_Tehsil_2
HP-DAM-0003,dam,point,"[[31.0681, 77.1559], [30.8608, 77.0144]]",183,partial,91.03,0.648,0.577,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_2
PB-IRR-0011,irrigation,point,"[[30.8077, 74.4727], [30.4676, 74.6609]]",344,paid,88.34,0.663,0.608,Punjab,PB,Faridkot,Faridkot_Tehsil_3
PB-RDH-0018,road,point,"[[30.9559, 76.6757], [30.8946, 76.5674]]",187,paid,91.17,0.756,0.608,Punjab,PB,Rupnagar,Rupnagar_Tehsil_3
PB-DAM-0004,dam,point,"[[29.9675, 75.4334], [30.0019, 75.5117]]",384,paid,84.02,0.737,0.684,Punjab,PB,Mansa,Mansa_Tehsil_2
PB-IND-0011,industrial,point,"[[31.5145, 74.9117], [31.5812, 74.8359]]",70,paid,97.22,0.59,0.679,Punjab,PB,Amritsar,Amritsar_Tehsil_1
HP-IRR-0010,irrigation,point,"[[31.5552, 76.6476], [31.3409, 76.7774]]",56,pending,95.87,0.731,0.646,Himachal Pradesh,HP,Bilaspur,Bilaspur_Tehsil_4
UK-IRR-0009,irrigation,point,"[[29.7714, 79.7501], [29.8772, 79.8407]]",151,partial,100.0,0.665,0.689,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_1
UK-RDH-0008,road,point,"[[30.291, 79.0754], [30.4372, 79.1695]]",105,pending,92.35,0.744,0.8,Uttarakhand,UK,Rudraprayag,Rudraprayag_Tehsil_3
PB-DAM-0005,dam,point,"[[30.3217, 74.0958], [30.3915, 74.0701]]",41,paid,81.15,0.72,0.666,Punjab,PB,Fazilka,Fazilka_Tehsil_2
PB-RLY-0007,rail,linear,"[[30.3217, 74.0958], [30.5536, 74.6535], [30.8947, 74.4813], [30.9126, 75.2468], [30.4397, 75.5432]]",244,paid,89.26,0.683,0.661,Punjab,PB,Fazilka,Fazilka_Tehsil_2
UK-IND-0008,industrial,point,"[[29.9096, 78.2344], [29.9563, 78.1271]]",66,paid,90.24,0.523,0.685,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_3
PB-RLY-0008,rail,point,"[[31.1246, 76.0926]]",36,paid,87.49,0.592,0.431,Punjab,PB,SBS Nagar,SBS Nagar_Tehsil_2
PB-IRR-0012,irrigation,point,"[[30.005, 75.8285]]",120,paid,97.06,0.677,0.71,Punjab,PB,Sangrur,Sangrur_Tehsil_3
UK-RDH-0009,road,linear,"[[30.5156, 78.5537], [30.241, 78.8122], [30.604, 79.3457], [30.3266, 78.798], [29.9563, 78.1271], [30.2621, 78.1345]]",120,paid,88.84,0.789,0.657,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_1
HP-RDH-0013,road,point,"[[31.0528, 77.2325], [31.0658, 77.1937]]",511,paid,78.79,0.716,0.667,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_2
HP-DAM-0004,dam,point,"[[31.3115, 76.6665], [31.3512, 76.6199]]",274,paid,85.36,0.647,0.703,Himachal Pradesh,HP,Bilaspur,Bilaspur_Tehsil_2
HP-IRR-0011,irrigation,point,"[[31.3685, 76.31], [31.2793, 76.0212]]",411,paid,78.89,0.765,0.571,Himachal Pradesh,HP,Una,Una_Tehsil_1
PB-IRR-0013,irrigation,point,"[[31.5075, 74.7357]]",145,paid,78.73,0.665,0.352,Punjab,PB,Tarn Taran,Tarn Taran_Tehsil_1
UK-IND-0009,industrial,point,"[[29.8772, 79.8407]]",13,paid,84.6,0.821,0.823,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_2
UK-IND-0010,industrial,point,"[[30.8455, 78.4727]]",131,pending,94.66,0.73,0.874,Uttarakhand,UK,Uttarkashi,Uttarkashi_Tehsil_3
PB-IND-0012,industrial,point,"[[30.2135, 75.8176], [30.1191, 75.9169]]",39,paid,92.44,0.664,0.603,Punjab,PB,Sangrur,Sangrur_Tehsil_3
PB-RDH-0019,road,linear,"[[30.519, 76.4748], [30.472, 76.3741], [30.6151, 76.8363]]",118,paid,73.6,0.65,0.705,Punjab,PB,Fatehgarh Sahib,Fatehgarh Sahib_Tehsil_1
PB-IRR-0014,irrigation,point,"[[30.9155, 76.03], [31.1246, 76.0926]]",62,paid,86.99,0.558,0.571,Punjab,PB,SBS Nagar,SBS Nagar_Tehsil_2
HP-IND-0006,industrial,point,"[[31.7116, 76.5263], [31.5465, 76.6629]]",76,paid,87.94,0.624,0.56,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_4
HP-RLY-0008,rail,linear,"[[32.3093, 76.3227], [31.5467, 76.4634], [31.3359, 76.215]]",549,partial,92.49,0.447,0.444,Himachal Pradesh,HP,Kangra,Kangra_Tehsil_3
UK-RDH-0010,road,point,"[[30.4808, 78.6585]]",208,paid,89.07,0.666,0.662,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_2
HP-IND-0007,industrial,point,"[[31.3359, 76.215]]",300,pending,81.87,0.619,0.581,Himachal Pradesh,HP,Una,Una_Tehsil_2
HP-IRR-0012,irrigation,point,"[[31.1341, 77.3492], [30.8589, 76.9228]]",767,pending,83.75,0.612,0.675,Himachal Pradesh,HP,Solan,Solan_Tehsil_2
PB-IRR-0015,irrigation,point,"[[30.0821, 75.2632]]",25,paid,93.96,0.54,0.53,Punjab,PB,Mansa,Mansa_Tehsil_1
HP-IND-0008,industrial,point,"[[30.8843, 77.1419]]",24,pending,92.11,0.592,0.566,Himachal Pradesh,HP,Solan,Solan_Tehsil_2
HP-IRR-0013,irrigation,point,"[[32.6433, 76.1822], [32.5879, 76.2747]]",31,partial,80.22,0.517,0.399,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_4
UK-RLY-0010,rail,point,"[[30.2621, 78.1345], [30.1363, 78.0575]]",206,pending,83.01,0.785,0.793,Uttarakhand,UK,Dehradun,Dehradun_Tehsil_2
PB-RLY-0009,rail,point,"[[31.5995, 75.9729], [31.5072, 75.7764]]",62,paid,85.23,0.55,0.581,Punjab,PB,Hoshiarpur,Hoshiarpur_Tehsil_2
